Submachine guns (MP5)
Submachine guns (Vector)
Submachine guns (UMP)
Submachine guns (P90)
Assault rifles(AK-74)
Assault rifles(M4A1)
Assault rifles(AKM)
Assault rifles(HK416A5)
Assault rifles(SA-58)
Assault rifles(ASh-12.7)
Assault rifles(M16)
Assault rifles(MCX)
Shotguns(Saiga-12)
Shotguns(M870)
Shotguns(TOZ-106)
Shotguns(KS-23)
Sniper rifles(DVL-10)
Sniper rifles(T-5000)
Sniper rifles(Mosin)
Grenade Launcher(GL40 Mk.2)
Designated marksman rifles(VSS)
Designated marksman rifles(M1A)
